timestamp,tenant1_pending,tenant1_running,tenant1_completed,tenant1_preempted,tenant2_pending,tenant2_running,tenant2_completed,tenant2_preempted,tenant3_pending,tenant3_running,tenant3_completed,tenant3_preempted
0,0,0,0,0,0,0,0,0,0,0,0,0
1,80,0,0,0,0,0,0,0,0,0,0,0
3,124,0,0,0,0,0,0,0,0,0,0,0
4,160,4,0,0,0,0,0,0,0,0,0,0
5,180,24,0,0,0,0,0,0,0,0,0,0
7,196,52,0,0,0,0,0,0,0,0,0,0
8,200,80,0,0,0,0,0,0,0,0,0,0
9,200,112,0,0,0,0,0,0,0,0,0,0
11,224,128,0,0,0,0,0,0,0,0,0,0
12,256,128,0,0,0,0,0,0,0,0,0,0
13,256,128,0,0,0,0,0,0,0,0,0,0
15,256,128,0,0,0,0,0,0,0,0,0,0
16,256,128,0,0,0,0,0,0,0,0,0,0
17,256,128,0,0,0,0,0,0,0,0,0,0
19,256,128,0,0,0,0,0,0,0,0,0,0
20,256,128,0,0,0,0,0,0,0,0,0,0
21,256,128,0,0,0,0,0,0,0,0,0,0
23,256,128,0,0,0,0,0,0,0,0,0,0
24,256,128,0,0,0,0,0,0,0,0,0,0
26,256,128,0,0,0,0,0,0,0,0,0,0
27,256,128,0,0,0,0,0,0,0,0,0,0
28,256,128,0,0,0,0,0,0,0,0,0,0
30,256,128,0,0,0,0,0,0,0,0,0,0
31,256,128,0,0,52,0,0,0,0,0,0,0
32,256,128,0,0,96,8,0,0,0,0,0,0
34,256,128,0,0,84,44,0,0,0,0,0,0
35,256,128,0,0,64,64,0,0,0,0,0,0
37,256,128,0,0,64,64,0,0,0,0,0,0
38,256,128,0,0,64,64,0,0,0,0,0,0
40,256,128,0,0,64,64,0,0,0,0,0,0
41,256,128,0,0,64,64,0,0,0,0,0,0
42,256,128,0,0,64,64,0,0,0,0,0,0
44,256,128,0,0,64,64,0,0,0,0,0,0
45,256,128,0,0,64,64,0,0,0,0,0,0
47,256,128,0,0,64,64,0,0,0,0,0,0
48,256,128,0,0,64,64,0,0,0,0,0,0
50,256,128,0,0,64,64,0,0,0,0,0,0
51,256,128,0,0,64,64,0,0,0,0,0,0
52,256,128,0,0,64,64,0,0,0,0,0,0
54,256,128,0,0,64,64,0,0,0,0,0,0
55,256,128,0,0,64,64,0,0,0,0,0,0
57,256,128,0,0,64,64,0,0,0,0,0,0
58,256,128,0,0,64,64,0,0,0,0,0,0
60,256,128,0,0,64,64,0,0,0,0,0,0
61,256,128,0,0,64,64,0,0,2,0,0,0
62,256,128,0,0,64,64,0,0,0,2,0,0
