timestamp,tenant1_pending,tenant1_running,tenant1_completed,tenant1_preempted,tenant2_pending,tenant2_running,tenant2_completed,tenant2_preempted,tenant3_pending,tenant3_running,tenant3_completed,tenant3_preempted
0,0,0,0,0,0,0,0,0,0,0,0,0
1,80,0,0,0,0,0,0,0,0,0,0,0
2,124,0,0,0,0,0,0,0,0,0,0,0
4,168,0,0,0,0,0,0,0,0,0,0,0
5,208,0,0,0,0,0,0,0,0,0,0,0
6,252,0,0,0,0,0,0,0,0,0,0,0
8,292,8,0,0,0,0,0,0,0,0,0,0
9,320,24,0,0,0,0,0,0,0,0,0,0
11,348,36,0,0,0,0,0,0,0,0,0,0
12,336,48,0,0,0,0,0,0,0,0,0,0
14,328,56,0,0,0,0,0,0,0,0,0,0
15,308,76,0,0,0,0,0,0,0,0,0,0
17,280,104,0,0,0,0,0,0,0,0,0,0
18,236,148,0,0,0,0,0,0,0,0,0,0
20,196,188,0,0,0,0,0,0,0,0,0,0
21,148,236,0,0,0,0,0,0,0,0,0,0
23,108,276,0,0,0,0,0,0,0,0,0,0
24,60,324,0,0,0,0,0,0,0,0,0,0
26,12,372,0,0,0,0,0,0,0,0,0,0
27,0,384,0,0,0,0,0,0,0,0,0,0
29,0,384,0,0,0,0,0,0,0,0,0,0
30,0,384,0,0,8,0,0,0,0,0,0,0
32,0,384,0,0,100,0,0,0,0,0,0,0
34,0,384,0,0,128,0,0,0,0,0,0,0
35,12,384,0,12,128,0,0,0,0,0,0,0
37,12,384,0,12,128,0,0,0,0,0,0,0
39,12,372,0,12,128,0,0,0,0,0,0,0
40,24,372,0,24,124,4,0,0,0,0,0,0
42,24,372,0,24,116,12,0,0,0,0,0,0
44,28,360,0,36,112,16,0,0,0,0,0,0
45,36,360,0,36,112,16,0,0,0,0,0,0
47,36,356,0,36,112,16,0,0,0,0,0,0
49,48,348,0,48,96,32,0,0,0,0,0,0
50,48,348,0,48,92,36,0,0,0,0,0,0
52,52,336,0,56,92,36,0,0,0,0,0,0
54,60,336,0,60,92,36,0,0,0,0,0,0
55,60,332,0,60,92,36,0,0,0,0,0,0
57,72,324,0,72,80,48,0,0,0,0,0,0
58,72,324,0,72,76,52,0,0,0,0,0,0
60,72,312,0,72,76,52,0,0,0,0,0,0
62,72,312,0,72,76,52,0,0,2,0,0,0
63,72,312,0,72,76,52,0,0,2,0,0,0
65,72,312,0,72,76,52,0,4,2,0,0,0
67,72,312,0,72,60,68,0,4,2,2,0,0
68,72,312,0,72,60,68,0,4,2,2,0,0
70,72,312,0,72,60,68,0,4,0,4,0,0
