timestamp,tenant1_pending,tenant1_running,tenant1_completed,tenant1_preempted,tenant2_pending,tenant2_running,tenant2_completed,tenant2_preempted,tenant3_pending,tenant3_running,tenant3_completed,tenant3_preempted,backfill_pending,backfill_running,backfill_completed,backfill_preempted
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,328,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,368,16,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,336,48,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,264,120,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,200,184,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,120,264,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,40,344,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
30,44,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
32,100,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
33,144,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
35,200,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
36,244,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
38,304,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
40,328,0,0,0,0,0,0,0,0,0,0,0,32,384,0,32
41,340,0,0,0,0,0,0,0,0,0,0,0,72,384,0,64
43,364,0,0,0,0,0,0,0,0,0,0,0,104,384,0,96
44,384,0,0,0,0,0,0,0,0,0,0,0,136,384,0,128
46,384,0,0,0,0,0,0,0,0,0,0,0,192,384,0,176
48,384,0,0,0,0,0,0,0,0,0,0,0,248,384,0,240
