timestamp,tenant1_pending,tenant1_running,tenant1_completed,tenant1_preempted,tenant2_pending,tenant2_running,tenant2_completed,tenant2_preempted,tenant3_pending,tenant3_running,tenant3_completed,tenant3_preempted,backfill_pending,backfill_running,backfill_completed,backfill_preempted
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,328,8,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,352,32,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,304,80,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,280,104,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,232,152,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,208,176,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,152,232,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,96,288,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,16,368,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
32,84,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
33,132,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
35,184,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
36,236,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
